,title,price,links,images
1,New ASUS VivoBook 16 M1605 16'' WUXGA Laptop AMD Ryzen 7 7730U 16GB 1TB SSD,229.99,https://www.ebay.com/itm/395959817500?_skw=laptop&hash=item5c310b551c:g:iMUAAOSwgmFnTQoC,https://i.ebayimg.com/thumbs/images/g/u~IAAOSwd-NnPJr8/s-l300.webp
3,HP Elitebook 745 G6 AMD Ryzen 5 3500U 2.10GHz 16GB RAM 256GB SSD W11H *GOOD*,149.99,https://www.ebay.com/itm/186793558708?_skw=laptop&hash=item2b7dc382b4:g:u~IAAOSwd-NnPJr8,https://i.ebayimg.com/thumbs/images/g/G1MAAOSwoMFnESyK/s-l300.webp
4,HP Laptop,29.0,https://www.ebay.com/itm/365264647080?_skw=laptop&hash=item550b7833a8:g:zocAAOSwbe9nTlfG,https://i.ebayimg.com/thumbs/images/g/h1sAAOSwQxBnPYEX/s-l300.webp
6,HP EliteBook 830 G7 FHD Laptop Intel Core i7-10610U 32GB RAM 256GB SSD Win11 Pro,299.89,https://www.ebay.com/itm/176714178727?_skw=laptop&epid=6053469962&hash=item2924fc60a7:g:G1MAAOSwoMFnESyK,https://i.ebayimg.com/thumbs/images/g/oF4AAOSwUOtnOADZ/s-l300.webp
10,"Dell Inspiron 14” 2-in-1 Touch Laptop Intel Core 5 - 16 GB RAM, 1TB SSD, Win 11P",208.5,https://www.ebay.com/itm/326358631774?_skw=laptop&hash=item4bfc7d855e:g:h1sAAOSwQxBnPYEX,https://i.ebayimg.com/thumbs/images/g/mYoAAOSwXqNnR35W/s-l300.webp
11,"Dell Latitude 14"" FHD Core i5 Laptop PC Computer Windows 11 16GB RAM 512GB SSD",263.56,https://www.ebay.com/itm/283987164379?_skw=laptop&epid=5031559411&hash=item421ef43cdb:g:58UAAOSwECZnTDuB,https://i.ebayimg.com/thumbs/images/g/NBMAAOSwXIdnKXBB/s-l300.webp
12,"Dell Latitude 5410 14"" Laptop Core i5 4-Core 16GB RAM 256GB SSD Windows 11 Pro",248.14,https://www.ebay.com/itm/266979553064?_skw=laptop&hash=item3e2938af28:g:oF4AAOSwUOtnOADZ,https://i.ebayimg.com/thumbs/images/g/8r0AAOSw5r9nNnbZ/s-l300.webp
13,"Lenovo Laptop PC Computer ThinkPad L470 14"" Core i5 8GB RAM 128GB SSD Windows 10",155.77,https://www.ebay.com/itm/254953548648?_skw=laptop&epid=28030217839&hash=item3b5c6a6b68:g:tZgAAOSwx4RnRmWv,https://i.ebayimg.com/thumbs/images/g/okYAAOSwQWlnTJXC/s-l300.webp
15,"Dell Latitude 3301 Laptop Intel Core i5 8265U 1.60GHZ 13.3"" FHD 8GB RAM NO HDD",24.0,https://www.ebay.com/itm/296696684076?_skw=laptop&hash=item4514801e2c:g:eocAAOSwpS5m6I6C,https://i.ebayimg.com/thumbs/images/g/OrgAAOSwIotnRJRG/s-l300.webp
16,"Lenovo ThinkPad  15.6"" Laptop  i5,up to 32GB RAM, 4TB SSD Windows 11 Pro WiFi-BT",249.99,https://www.ebay.com/itm/296799764731?_skw=laptop&hash=item451aa500fb%3Ag%3AmYoAAOSwXqNnR35W&var=594618423259,https://i.ebayimg.com/thumbs/images/g/wR4AAOSwrWJnSofS/s-l300.webp
17,"Dell Latitude 3380 Laptop PC 13.3"" HD Windows 10 Core i5 8GB RAM 128GB SSD HDMI",145.39,https://www.ebay.com/itm/254582474636?_skw=laptop&hash=item3b464c478c:g:NBMAAOSwXIdnKXBB,https://i.ebayimg.com/thumbs/images/g/jWcAAOSwO~ZnJAwl/s-l300.webp
